School,District,Score,Avg. Score
Martha Jane Norris,Surrey,5.1,5.2
Rutherford,Nanaimo,5.1,5.1
John Howitt,Port Alberni,5.1,5
Chief Tomat,Westbank,5.1,4.5
Gordon Terrace,Cranbrook,5.1,4.5
Miracle Beach,Black Creek,5.1,4.1
Aspen View,Comox,5.1,n/a
Bernard,Chilliwack,5.1,n/a
Cache Creek,Cache Creek,5.1,n/a
Chase River,Nanaimo,5.1,n/a
Comox Valley Christian,Merville,5.1,n/a
Deux-Rives,Mission,5.1,n/a
Robertson Annex,Chilliwack,5.1,n/a
St Joseph's,Chemainus,5.1,n/a
Windsor,Burnaby,5.1,n/a
Hume,Nelson,5,6.3
Mountainview Montessori,Surrey,5,6.1
Westmount,Kamloops,5,5.9
Ten Broeck,Abbotsford,5,5.7
Arrowview,Qualicum Beach,5,5.6
Hellings,Delta,5,5.4
Isabella Dicken,Fernie,5,5.4
Parkway,Penticton,5,5.4
Highglen Montessori,Prince George,5,5.3
Dr D. A. Perley,Grand Forks,5,5.1
Ellison,Kelowna,5,5.1
Laura Secord,Vancouver,5,5.1
Sir Guy Carleton,Vancouver,5,5.1
T M Roberts,Cranbrook,5,5
Seymour Heights,North Vancouver,5,4.9
David Cameron,Victoria,5,4.8
Mission Hill,Vernon,5,4.8
Rutland,Kelowna,5,4.8
W L McLeod,Vanderhoof,5,4.7
Peachland,Peachland,5,4.6
Queneesh,Courtenay,5,4.3
Davie Jones,Pitt Meadows,5,4.1
Cumberland,Cumberland,5,4
South Broadview,Salmon Arm,5,3.8
Aberdeen,Abbotsford,5,n/a
Ashcroft,Ashcroft,5,n/a
Bridgeview,Surrey,5,n/a
Happy Valley,Victoria,5,n/a
North Canoe,Canoe,5,n/a
Westview,Powell River,5,n/a
Willway,Victoria,5,n/a
Salt Spring,Salt Spring Island,4.9,6.1
David Thompson,Kamloops,4.9,5.5
Serpentine Heights,Surrey,4.9,5.3
Shortreed,Aldergrove,4.9,5.2
A S Matheson,Kelowna,4.9,5.1
Hudson Road,Kelowna,4.9,4.9
Malaspina,Prince George,4.9,4.6
Maquinna,Port Alberni,4.9,4.5
Betty Huff,Surrey,4.9,4.2
L'Anse-Au-Sable,Kelowna,4.9,n/a
Davidson Road,Winfield,4.8,6.4
Crofton,Crofton,4.8,6
Dallas,Kamloops,4.8,6
Anmore,Anmore,4.8,5.8
Mundy Road,Coquitlam,4.8,5.8
Queen Of Angels,Duncan,4.8,5.6
Heath,Delta,4.8,5.4
Cinnabar Valley,Nanaimo,4.8,5.1
Walter Moberly,Vancouver,4.8,4.9
Macaulay,Victoria,4.8,4.5
Canalta,Dawson Creek,4.8,4.4
Pinewood,Prince George,4.8,4.4
Alexander,Abbotsford,4.8,4.2
Cindrich,Surrey,4.8,4.2
Pleasant Valley,Nanaimo,4.8,4
Bankhead,Kelowna,4.8,3.8
Little Prairie,Chetwynd,4.8,3.8
Lakewood,Victoria,4.8,n/a
Cleveland,North Vancouver,4.7,6.3
Belmont,Langley,4.7,5.7
Frank J. Ney,Nanaimo,4.7,5.3
North Ridge,Surrey,4.7,5.3
McKim,Kimberley,4.7,5.2
William F Davidson,Surrey,4.7,5.2
Georges Vanier,Surrey,4.7,5
Westwood,Port Coquitlam,4.7,4.8
Alexis Park,Vernon,4.7,4.6
Old Yale Road,Surrey,4.7,4.3
Airport,Lazo,4.7,4.2
Mountainview,Terrace,4.7,n/a
James Ardiel,Surrey,4.6,5.5
Brooke,Delta,4.6,5.4
Rocky Mountain,Elkford,4.6,5.3
Renfrew,Vancouver,4.6,5.2
Prespatou,Prespatou,4.6,5.1
Sunrise Ridge,Surrey,4.6,5
Barriere,Barriere,4.6,4.6
Cherry Hill,Mission,4.6,4.4
Drinkwater,Duncan,4.6,4.1
A E Perry,Kamloops,4.6,4
Notre Dame,Dawson Creek,4.6,4
Lax Kxeen,Prince Rupert,4.6,3.5
Kilmer,Port Coquitlam,4.5,5.7
Parkcrest,Burnaby,4.5,5.7
Cedar Grove,Gibsons,4.5,5.5
Gill,Port Alberni,4.5,5.4
Simon Cunningham,Surrey,4.5,5
Kirkbride,Surrey,4.5,4.8
Hillcrest,Salmon Arm,4.5,4.7
M B Sanford,Surrey,4.5,4.7
Signal Hill,Pemberton,4.5,4.7
Kennedy Trail,Surrey,4.5,4.6
Evelyn Dickson,Vanderhoof,4.5,4.5
Queen Mary,North Vancouver,4.5,4.4
Rock City,Nanaimo,4.5,4.4
Heather Park,Prince George,4.5,4.1
Fairview,Maple Ridge,4.5,n/a
Albion,Maple Ridge,4.4,5.5
Belgo,Kelowna,4.4,4.7
Quadra,Victoria,4.4,4.6
Heritage,Prince George,4.4,4.4
Raymer,Kelowna,4.4,4.3
Kent,Agassiz,4.4,4.2
Forsyth Road,Surrey,4.4,4
Eagle View,Port Hardy,4.4,3.5
Carlin,Tappen,4.4,n/a
Maywood,Burnaby,4.4,n/a
McCammon Traditional,Chilliwack,4.4,n/a
Thornhill,Terrace,4.4,n/a
Wix-Brown,Langley,4.4,n/a
Cayoosh,Lillooet,4.3,5
Watson,Chilliwack,4.3,5
Henry Bose,Surrey,4.3,4.9
Willow Point,Campbell River,4.3,4.7
Richardson,Delta,4.3,4.4
Errington,Errington,4.3,4.2
Bear Creek,Surrey,4.3,3.9
Yennadon,Maple Ridge,4.3,3.6
Buckhorn,Prince George,4.3,n/a
Cultus Lake,Cultus Lake,4.3,n/a
Mountain View,Coquitlam,4.3,n/a
Pinewood,Cranbrook,4.3,n/a
Shannon Lake,Westbank,4.2,6
Don Christian,Surrey,4.2,5.1
Windebank,Mission,4.2,5
Glenrosa,Westbank,4.2,4.7
Cedar Hills,Surrey,4.2,4.5
Stride Avenue,Burnaby,4.2,4.4
Highland Park,Armstrong,4.2,3.9
Navigateurs,Richmond,4.2,n/a
Nechako,Kitimat,4.2,n/a
Queen Mary,Vancouver,4.1,6.2
Van Bien,Prince George,4.1,5.7
Edith McDermott,Pitt Meadows,4.1,5.2
Westview,North Vancouver,4.1,4.6
Peter Greer,Winfield,4.1,4.2
Prince Charles,Surrey,4.1,3.6
Oceanside,Parksville,4.1,n/a
Highlands,Cranbrook,4,5.5
Rose Valley,Kelowna,4,5.4
Mary Hill,Port Coquitlam,4,5.3
Cataline,Williams Lake,4,5
George Greenaway,Surrey,4,4.6
James Park,Port Coquitlam,4,4.6
Creekside,Surrey,4,4.5
North Cedar,Nanaimo,4,4.4
Eric Langton,Maple Ridge,4,4
Eighth Avenue,Port Alberni,4,3.7
Nicola Canford,Lower Nicola,4,3.6
Ron Brent,Prince George,4,3
Hans Helgesen,Victoria,4,n/a
South Nelson,Nelson,4,n/a
Simonds,Langley,3.9,5
Highland Park,Pitt Meadows,3.9,4
Grindrod,Grindrod,3.9,n/a
Kenneth Gordon Maplewood,North Vancouver,3.9,n/a
Peace Christian,Chetwynd,3.9,n/a
Rosemont,Nelson,3.9,n/a
Queens Park,Penticton,3.8,5.2
Duncan Cran,Fort St John,3.8,5.1
Carmi,Penticton,3.8,4.6
Sinkutview,Vanderhoof,3.8,4.5
Amy Woodland,Cranbrook,3.8,4.4
Seaview,Lantzville,3.8,4.4
Hammond,Maple Ridge,3.8,4.3
Coal Tyee,Nanaimo,3.8,4.2
Spruceland,Prince George,3.8,4.2
Penfield,Campbell River,3.8,4.1
South Rutland,Kelowna,3.8,4.1
Park Avenue,Nanaimo,3.8,3.4
Arden,Courtenay,3.8,3.3
Rochester,Coquitlam,3.7,4.9
Sk'aadgaa Naay,Skidegate,3.7,4.9
Blackburn,Prince George,3.7,4.3
Deux Mondes,Campbell River,3.7,n/a
George M Murray,Lillooet,3.7,n/a
North Oyster,Ladysmith,3.7,n/a
Seaview,Port Moody,3.6,4.9
Nesika,Williams Lake,3.6,4.5
Laity View,Maple Ridge,3.6,4.1
Sandowne,Campbell River,3.6,4
Courtenay,Courtenay,3.6,3.8
Pineridge,Prince Rupert,3.6,3.7
Ruth King,Victoria,3.6,3.7
Armstrong,Armstrong,3.6,3.6
Pinecrest,Campbell River,3.6,3.5
West Heights,Mission,3.6,3.2
Discovery,Shawnigan Lake,3.5,4.8
Sorrento,Sorrento,3.5,4.3
Glenview,Prince George,3.5,4.2
Georgia Park,Campbell River,3.5,3.9
Morfee,Mackenzie,3.5,3.2
Simon Fraser,Vancouver,3.5,n/a
Thunderbird,Vancouver,3.5,n/a
Ellendale,Surrey,3.4,4.9
View Royal,Victoria,3.4,4.6
Springvalley,Kelowna,3.4,4.5
David Brankin,Surrey,3.4,4.2
Birchland,Port Coquitlam,3.4,4.1
Holly,Surrey,3.4,3.8
Conrad,Prince Rupert,3.4,3.5
Christian Life,Fort St John,3.4,n/a
Port Guichon,Delta,3.4,n/a
Merritt Central,Merritt,3.3,2.6
Suwilaawks,Terrace,3.3,2.2
Tansor,Duncan,3.3,n/a
Lena Shaw,Surrey,3.2,3.3
Twin Rivers,Castlegar,3.1,4.1
Bowser,Bowser,3.1,n/a
Florence Nightingale,Vancouver,3.1,n/a
Roosevelt Park,Prince Rupert,3.1,n/a
McKenzie,Victoria,3,4.5
Douglas Park,Langley,3,n/a
Windrem,Chetwynd,3,n/a
Adam Robertson,Creston,2.9,3.7
Mission Central,Mission,2.9,2.7
Westwood,Prince George,2.8,2.6
Duncan Christian,Duncan,2.8,n/a
George Bonner,Mill Bay,2.8,n/a
Chilliwack Central,Chilliwack,2.7,4.1
Ladysmith,Ladysmith,2.7,4.1
Nicomekl,Langley,2.7,4.1
Alexander Robinson,Maple Ridge,2.6,n/a
Sooke,Sooke,2.6,n/a
Diamond Vale,Merritt,2.5,3.1
Uplands Park,Nanaimo,2.4,4.1
Chemainus,Chemainus,2.4,n/a
John Henderson,Vancouver,2.4,n/a
Central,Port Coquitlam,2.3,4.1
Georgia Avenue,Nanaimo,2.3,2.2
Colwood,Victoria,2.3,n/a
Wickaninnish,Tofino,2.3,n/a
Forest Park,Nanaimo,2.1,3.8
Erickson,Erickson,2.1,n/a
J V Humphries,Kaslo,2.1,n/a
Alouette,Maple Ridge,1.9,3.9
Lord Strathcona,Vancouver,1.8,2.8
Salmo,Salmo,1.8,n/a
Bayview,Nanaimo,1.7,n/a
Brechin,Nanaimo,1.7,n/a
Decker Lake,Burns Lake,1.6,n/a
Harwin,Prince George,1.6,n/a
Kildala,Kitimat,1.4,n/a
Voyageur,Quesnel,1.4,n/a
M.V. Beattie,Enderby,1.3,3.3
Norgate,North Vancouver,1.3,n/a
Quinson,Prince George,1.2,n/a
Glenwood,Maple Ridge,1.1,n/a
Marie Sharpe,Williams Lake,1,n/a
Fraser Lake,Fraser Lake,0.3,2.2
William Konkin,Burns Lake,0,0.9
Aboriginal Choice,Prince George,0,n/a
Alexander,Duncan,0,n/a
Baker,Quesnel,0,n/a
Kitwanga,Kitwanga,0,n/a
Lytton,Lytton,0,n/a
