School,District,Score,Avg. Score
Lord Kitchener,Vancouver,7.7,6.9
L'ƒcole Bilingue,Vancouver,7.7,6.6
Coast Meridian,Surrey,7.7,6.2
Norma Rose Point,Vancouver,7.7,n/a
Queen Margaret's,Duncan,7.7,n/a
St Francis of Assisi,Vancouver,7.6,8.1
John Calvin,Chilliwack,7.6,8
C M Finch,Fort St John,7.6,7.8
Topham,Langley,7.6,7.6
Montroyal,North Vancouver,7.6,7.5
Herbert Spencer,New Westminster,7.6,7.4
Fraser Wood,Surrey,7.6,7
British Columbia Christian,Port Coquitlam,7.6,n/a
Rosser,Burnaby,7.6,n/a
West-Mont,Victoria,7.6,n/a
Rosemary Heights,Surrey,7.5,7.9
Matsqui,Abbotsford,7.5,7.5
Braemar,North Vancouver,7.5,7.4
White Rock Christian,Surrey,7.5,6.9
Boundary Park,Surrey,7.5,6.7
Alwin Holland,Fort St John,7.5,6.5
Lloyd George,Kamloops,7.4,7.6
Sperling,Burnaby,7.4,7.6
Frost Road,Surrey,7.4,7.4
Gilpin,Burnaby,7.4,7.3
Juniper Ridge,Kamloops,7.4,7.3
Crescent Park,Surrey,7.4,7.2
Peterson Road,Langley,7.4,7
Dr Roberta Bondar,Abbotsford,7.4,6.8
Sir Wilfred Grenfell,Vancouver,7.4,6.5
J S Clark,Fort Nelson,7.4,n/a
Maria Montessori,Victoria,7.4,n/a
Highroad,Chilliwack,7.3,7.6
Brentwood Park,Burnaby,7.3,7.3
Panorama Heights,Coquitlam,7.3,6.8
Sir James Douglas,Victoria,7.3,6.8
Sir Matthew Begbie,Vancouver,7.3,6.8
Surrey Christian,Surrey,7.3,6.8
Capilano,North Vancouver,7.3,6.7
Brantford,Burnaby,7.3,6.6
Capitol Hill,Burnaby,7.3,6.6
Casorso,Kelowna,7.3,6.6
St Joseph's,Vancouver,7.3,6.4
Upper Lynn,North Vancouver,7.3,6.3
Nestor,Coquitlam,7.3,6.1
Graham Bruce,Vancouver,7.3,n/a
Ross,Abbotsford,7.3,n/a
Westridge,Burnaby,7.3,n/a
Chantrell Creek,Surrey,7.2,8
James Thompson,Richmond,7.2,7.8
Blueridge,North Vancouver,7.2,7.5
Manoah Steves,Richmond,7.2,7.4
Trout Creek,Summerland,7.2,7.3
Yarrow,Chilliwack,7.2,7.2
Maple Grove,Vancouver,7.2,7.1
Berkshire Park,Surrey,7.2,7
General Currie,Richmond,7.2,6.9
Margaret Stenersen,Abbotsford,7.2,6.9
Pinetree Way,Coquitlam,7.2,6.9
Chimney Hill,Surrey,7.2,6.8
White Rock,White Rock,7.2,6.5
Inman,Burnaby,7.2,5.8
Devon Gardens,Delta,7.2,5.6
Lac des Bois,Prince George,7.2,n/a
G W Carlson,Fort Nelson,7.1,8
Willows,Victoria,7.1,7.5
